Title,Aircraft_Type,Registration,Flight_Number,Incident_Date,Location,Origin,Destination,Cause,Incident_Type,Published_Date,Description
"Indigo A20N near Nagpur on Jan 1st 2020, suspected oil leak",A20N,VT-IVS,6E-19,Jan 1st 2020,Nagpur,Mumbai,Singapore,suspected oil leak,Incident,"Jan 2, 2020","An Indigo Airbus A320-200N, registration VT-IVS performing flight 6E-19 from Mumbai (India) to Singapore (Singapore), was enroute at FL350 near…"
"Indigo A20N at Bagdogra on Dec 16th 2019, engine problem",A20N,VT-IZJ,6E-958,Dec 16th 2019,Bagdogra,Bagdogra,Kolkata,engine problem,Incident,"Dec 17, 2019","An Indigo Airbus A320-200N, registration VT-IZJ performing flight 6E-958 from Bagdogra to Kolkata (India) with 180 people on board, was climbing out…"
"Indigo A20N at Mumbai on Dec 5th 2019, engine vibrations",A20N,VT-IVU,6E-236,Dec 5th 2019,Mumbai,Mumbai,Bangalore,engine vibrations,Incident,"Dec 5, 2019","An Indigo Airbus A320-200N, registration VT-IVU performing flight 6E-236 from Mumbai to Bangalore (India), was climbing out of Mumbai's runway 27…"
"Indigo A320 at Chennai on Nov 20th 2019, cargo smoke indication",A320,VT-IKI,6E-892,Nov 20th 2019,Chennai,Coimbatore,Chennai,cargo smoke indication,Incident,"Nov 20, 2019","An Indigo Airbus A320-200, registration VT-IKI performing flight 6E-892 from Coimbatore to Chennai (India) with 168 people on board, was descending…"
"Indigo A20N at Chennai on Nov 1st 2019, cargo smoke indication",A20N,VT-IJJ,6E-1751,Nov 1st 2019,Chennai,Chennai,Kuwait City,cargo smoke indication,Incident,"Nov 2, 2019","An Indigo Airbus A320-200N, registration VT-IJJ performing flight 6E-1751 from Chennai (India) to Kuwait City (Kuwait) with about 160 people on…"
"Indigo A20N near Mumbai on Oct 25th 2019, engine shut down in flight",A20N,VT-ITA,6E-375,Oct 25th 2019,Mumbai,Mumbai,Coimbatore,engine shut down in flight,Incident,"Oct 26, 2019","An Indigo Airbus A320-200, registration VT-ITA performing flight 6E-375 from Mumbai to Coimbatore (India), was climbing through FL330 about 100nm…"
"Indigo A320 at Goa on Sep 29th 2019, engine shut down in flight",A320,VT-IHC,6E-336,Sep 29th 2019,Goa,Goa,Delhi,engine shut down in flight,Incident,"Sep 30, 2019","An Indigo Airbus A320-200, registration VT-IHC performing flight 6E-336 from Goa to Delhi (India) with 180 people on board, was climbing through…"
"Indigo A20N at Mumbai on Sep 27th 2019, engine problem",A20N,VT-IJC,6E-463,Sep 27th 2019,Mumbai,Chandigarh,Mumbai,engine problem,Incident,"Sep 27, 2019","An Indigo Airbus A320-200N, registration VT-IJC performing flight 6E-463 from Chandigarh to Mumbai (India) with 144 people on board, was on approach…"
"Indigo A21N at Chennai on Sep 21st 2019, cargo smoke indication",A21N,VT-IUA,6E-1707,Sep 21st 2019,Chennai,Chennai,Doha,cargo smoke indication,Incident,"Sep 21, 2019","An Indigo Airbus A321-200N, registration VT-IUA performing flight 6E-1707 from Chennai (India) to Doha (Qatar) with 121 people on board, was climbing…"
"Indigo A20N at Hyderabad on Aug 27th 2019, smoke in cockpit",A20N,VT-ITB,6E-6679,Aug 27th 2019,Hyderabad,Delhi,Hyderabad,smoke in cockpit,Incident,"Sep 12, 2019","An Indigo Airbus A320-200N, registration VT-ITB performing flight 6E-6679 from Delhi to Hyderabad (India), was on approach to Hyderabad when the crew…"
"Indigo A20N at Dehra Dun on Jun 29th 2019, engine damage",A20N,VT-ITP,6E-912,Jun 29th 2019,Dehra Dun,Dehra Dun,Bangalore,engine damage,Incident,"Jul 18, 2019","An Indigo Airbus A320-200N, registration VT-ITP performing flight 6E-912 from Dehra Dun to Bangalore (India), was climbing out of Dehra Dun's runway…"
